Feature,Chi2_Score,F_Score,RF_Importance,Abs_Correlation,Chi2_Score_Normalized,F_Score_Normalized,RF_Importance_Normalized,Abs_Correlation_Normalized,Average_Score
CI2a32-4,439093258.5609409,22.65332377991122,0.0013099909519810535,0.0038443925126047623,0.3272692668957262,0.0021017591699940565,0.004365641866345924,0.0194255544167792,0.08829055558721134
CI3a31-2,4669755.967915103,205.3359709315189,0.007153010600623021,0.043967458126962324,0.0034805079508836096,0.019162576472927316,0.06734215355335414,0.23479683090098685,0.08119551721953798
CI3a22-3,21075.6618798749,621.6537304765443,0.0032482509913605217,0.04287177672669237,1.570823807303971e-05,0.058042685483334064,0.025256356490386652,0.22891546819395328,0.07805755460143676
PTIa31-2,13999.708782414644,876.4359861863824,0.0021819817198087395,0.03645862367288159,1.0434319746560674e-05,0.08183691873137422,0.01376402490855028,0.19449115543671538,0.07252563334909662
PTIa42,2199224.472823865,1084.439017523423,0.006044771510098677,0.02265874667230091,0.0016391473385892863,0.10126241847877224,0.05539746805967674,0.12041662799391223,0.06967891546773762
CI3a21-3,88057.05618679679,424.1020434919353,0.007443465300658705,0.030507878073109965,6.56314636940781e-05,0.039593241641338525,0.07047269647658308,0.16254893825486114,0.0681701269591192
CI3a11-1,47219.84478580359,470.0526224002325,0.01092493322710325,0.017399708402591994,3.519427528375649e-05,0.043884587557012036,0.1079962234783513,0.0921873347461599,0.061025835014201744
PTIa1,1830022.114310817,765.233692780643,0.006029246133392063,0.021289842608628123,0.0013639698384105294,0.071451684878878,0.05523013436470337,0.1130686696297306,0.06027861467793062
PAIa11-1,244146245.58567736,25.91366861164534,0.0033494338330680024,0.0036928945733313476,0.18196945918620183,0.002406244288783781,0.02634691288014599,0.018612348744021068,0.057333741274788165
PAIa11-2,244076208.12063473,25.99687795944955,0.003119356074497612,0.0037031306860420754,0.1819172581801549,0.002414015248439329,0.023867117239736585,0.018667293814318905,0.05671642112066243
PAIa16-1,8376.497667040565,1521.6568403526223,0.0025465997399372257,0.011861163797118131,6.243173232930389e-06,0.14209439411072577,0.017693905755562716,0.06245771655071515,0.055563064897559133
PAIa16-R1,8411.34569887687,1526.0974017007034,0.0019075544412904461,0.011966854758096404,6.269146507655624e-06,0.14250910019837737,0.010806226757579156,0.06302504102680373,0.05408665928231698
